m4id,assay,casrn,dtxsid,chemName,normalizedDataType,mechanisticTargets,ac50,acc,response units,topOfCurve,topOfCurve units,call,Concentration Response (Index:Concentration:Response)
9149203,CCTE_Simmons_AUR_TPO_dn,67604-48-2,DTXSID50274239,(+/-)-Naringenin,percent_activity,Thyroid Hormone Generation,0.594,0.116,uM,85.961,percent_activity,Active,"(1:0.09:16.198),(1:0.09:18.232),(1:0.09:18.784),(2:0.3:28.132),(2:0.3:29.674),(2:0.3:30.113),(3:1:55.402),(3:1:57.081),(3:1:57.341),(4:5:70.882),(4:5:70.894),(4:5:67.916),(5:20:76.297),(5:20:73.059),(5:20:75.902),(6:90:85.373),(6:90:88.433),(6:90:88.293)"
9149068,CCTE_Simmons_AUR_TPO_dn,33956-49-9,DTXSID1035288,"(8E,10E)-8,10-Dodecadien-1-ol",percent_activity,Thyroid Hormone Generation,NA,NA,uM,NA,percent_activity,QC-Omit,"(1:0.09:-0.658),(1:0.09:-0.142),(1:0.09:1.374),(2:0.3:-0.294),(2:0.3:2.735),(2:0.3:1.7),(3:1:4.493),(3:1:1.729),(3:1:2.059),(4:5:4.525),(4:5:4.749),(4:5:7.755),(5:20:12.115),(5:20:10.24),(5:20:12.322),(6:90:30.057),(6:90:25.986),(6:90:23.131)"
9148764,CCTE_Simmons_AUR_TPO_dn,4180-23-8,DTXSID9020087,(E)-Anethole,percent_activity,Thyroid Hormone Generation,34.639,25.249,uM,47.104,percent_activity,Active,"(1:0.09:7.228),(1:0.09:7.055),(1:0.09:7.683),(2:0.3:6.802),(2:0.3:4.965),(2:0.3:10.463),(3:1:2.312),(3:1:6.513),(3:1:5.06),(4:5:8.206),(4:5:6.036),(4:5:6.146),(5:20:13.512),(5:20:17.313),(5:20:12.803),(6:90:31.647),(6:90:39.254),(6:90:37.706)"
9149046,CCTE_Simmons_AUR_TPO_dn,12108-13-3,DTXSID9027738,(Methylcyclopentadienyl)tricarbonylmanganese,percent_activity,Thyroid Hormone Generation,NA,NA,uM,NA,percent_activity,QC-Omit,"(1:0.09:1.77),(1:0.09:0.0262),(1:0.09:-0.344),(2:0.3:-3.441),(2:0.3:-0.936),(2:0.3:-1.18),(3:1:-2.481),(3:1:-2.771),(3:1:-2.209),(4:5:-0.32),(4:5:0.521),(4:5:-1.389),(5:20:9.958),(5:20:8.357),(5:20:6.52),(6:90:49.407),(6:90:58.769),(6:90:58.499)"
9148692,CCTE_Simmons_AUR_TPO_dn,161326-34-7,DTXSID2034590,(S)-1-Anilino-4-methyl-2-methylthio-4-phenylimidazolin-5-one,percent_activity,Thyroid Hormone Generation,70.2,16.898,uM,74.201,percent_activity,Active,"(1:0.005:12.904),(1:0.005:7.349),(1:0.005:3.792),(2:0.02:6.008),(2:0.02:2.924),(2:0.02:-2.258),(3:0.09:3.224),(3:0.09:2.512),(3:0.09:0.854),(4:0.3:-1.129),(4:0.3:4.976),(4:0.3:3.149),(5:1:5.166),(5:1:11.148),(5:1:8.219),(6:5:2.58),(6:5:11.471),(6:5:8.708),(7:20:27.835),(7:20:17.19),(7:20:13.569),(8:90:61.834),(8:90:42.316),(8:90:38.151)"
9149208,CCTE_Simmons_AUR_TPO_dn,106-25-2,DTXSID3026728,(Z)-Nerol,percent_activity,Thyroid Hormone Generation,NA,NA,uM,NA,percent_activity,QC-Omit,"(1:0.09:15.125),(1:0.09:20.308),(1:0.09:18.971),(2:0.3:10.349),(2:0.3:19.104),(2:0.3:17.467),(3:1:8.536),(3:1:21.237),(3:1:20.128),(4:5:10.069),(4:5:22.829),(4:5:20.581),(5:20:28.16),(5:20:23.213),(5:20:17.71),(6:90:42.282),(6:90:46.979),(6:90:45.587)"
9148758,CCTE_Simmons_AUR_TPO_dn,643-79-8,DTXSID6032514,"1,2-Benzenedicarboxaldehyde",percent_activity,Thyroid Hormone Generation,NA,NA,uM,NA,percent_activity,QC-Omit,"(1:0.09:7.285),(1:0.09:5.744),(1:0.09:5.899),(2:0.3:4.354),(2:0.3:4.751),(2:0.3:9.077),(3:1:0.527),(3:1:1.642),(3:1:5.476),(4:5:2.535),(4:5:6.495),(4:5:3.824),(5:20:9.014),(5:20:16.65),(5:20:10.195),(6:90:42.3),(6:90:38.657),(6:90:51.729)"
9148847,CCTE_Simmons_AUR_TPO_dn,95-54-5,DTXSID3025881,"1,2-Phenylenediamine",percent_activity,Thyroid Hormone Generation,NA,NA,uM,NA,percent_activity,QC-Omit,"(1:0.1:6.348),(1:0.1:2.318),(1:0.1:7.096),(2:0.4:11.642),(2:0.4:10.646),(2:0.4:9.807),(3:2:19.879),(3:2:25.91),(3:2:25.712),(4:7:54.304),(4:7:59.287),(4:7:59.113),(5:30:79.231),(5:30:72.107),(5:30:75.759),(6:100:88.602),(6:100:85.885),(6:100:87.083)"
9148806,CCTE_Simmons_AUR_TPO_dn,108-45-2,DTXSID4021137,"1,3-Benzenediamine",percent_activity,Thyroid Hormone Generation,4.375,1.123,uM,93.018,percent_activity,Active,"(1:0.09:-4.076),(1:0.09:3.536),(1:0.09:6.55),(2:0.3:7.872),(2:0.3:0.36),(2:0.3:4.192),(3:1:18.168),(3:1:25.948),(3:1:17.216),(4:5:42.705),(4:5:53.954),(4:5:50.326),(5:20:70.434),(5:20:77.752),(5:20:74.684),(6:90:86.115),(6:90:91.365),(6:90:88.177)"
9148937,CCTE_Simmons_AUR_TPO_dn,99-63-8,DTXSID3026641,"1,3-Benzenedicarbonyl dichloride",percent_activity,Thyroid Hormone Generation,NA,NA,uM,NA,percent_activity,QC-Omit,"(1:0.09:3.167),(1:0.09:2.256),(1:0.09:4.207),(2:0.3:9.633),(2:0.3:5.678),(2:0.3:8.929),(3:1:12.897),(3:1:10.696),(3:1:14.239),(4:5:33.297),(4:5:30.829),(4:5:29.073),(5:20:52.861),(5:20:52.376),(5:20:55.074),(6:90:65),(6:90:67.468),(6:90:68.307)"
